RE	TG	SNP	D0	Sig	RS	P-value	TF
chr19_1446885_1447417	APC2	rs113191713,rs117605614,rs11879269,rs140732088,rs149817173,rs149974279,rs191383232,rs2656867,rs2656873,rs73515062,rs73515066,rs73515068,rs73516832	###	###	0.24352741712750156	0.2295248556988767	MEIS3,NR2F6,MAZ,CTCF,FOXO4,KLF16,NFIC,RXRB,YY1,JDP2,NR3C1,FOXG1,SMAD3,E2F3,KLF13,HEY1,MZF1,ARNT2,NFIX,POU3F3,PBX2,E2F1,GABPA,NFIB,TFCP2,ETV5,TCF3,TCF4,FLI1,EPAS1,EGR4,BHLHE41,EGR3,TEAD1,ETS2,SP3,SP2,SRF,SOX2,EGR1,BHLHE40,TBP,RFX5,E2F4,ZIC2,SP1,RXRA,RARA,HES1,ZBTB7A,USF2,TBR1,ESRRA,NFE2L2,TCFL5,NR2F1,TFE3,ATF3
chr22_38836661_38837302	KCNJ4	rs105154,rs11089885,rs11089887,rs111959380,rs114021754,rs11703948,rs11704277,rs117996858,rs11913839,rs12484736,rs13055737,rs13057446,rs138275831,rs138369,rs138383,rs138387,rs138389,rs138394,rs138395,rs138402,rs138575404,rs187776720,rs1894632,rs196055,rs196058,rs196063,rs196072,rs196073,rs196074,rs196075,rs196078,rs196082,rs196083,rs196087,rs196091,rs196093,rs196101,rs196102,rs196103,rs196111,rs196122,rs2002581,rs2267384,rs2267389,rs2413533,rs34500977,rs35607824,rs364851,rs393294,rs4343562,rs470096,rs4821787,rs4821788,rs5750603,rs5757084,rs5757085,rs5757086,rs5757088,rs5757091,rs5757092,rs6001117,rs6001118,rs6001120,rs60910684,rs60991321,rs66792787,rs7291841,rs73157117,rs7354810,rs743942,rs77658096,rs8142029,rs885867,rs9607542,rs9607543,rs9610956,rs9941960	rs73157117	###	0.24334136205567658	0.23027958887266586	MEIS3,NR2F6,RXRA,NFIX,POU3F3,CTCF,TCF4,ZBTB7A,TBR1,ESRRA,ETS2,RXRB,EGR1,BHLHE40,NR2F1,ETV5,E2F4
chr2_25135438_25136062	ADCY3	rs10164466,rs10164842,rs10165451,rs10171663,rs10172886,rs10175064,rs10179794,rs10182181,rs10182458,rs10184813,rs10185143,rs10186242,rs10195271,rs10196998,rs10198275,rs10198356,rs10200566,rs10203386,rs10203482,rs10204266,rs10205326,rs10206196,rs10207642,rs10207698,rs1077641,rs10865315,rs10865320,rs10865321,rs10865322,rs112215462,rs11675013,rs11675198,rs116762317,rs11676272,rs11683212,rs11683429,rs11683929,rs11685125,rs11686663,rs11688665,rs11688754,rs11693654,rs1172294,rs11892869,rs11900505,rs12713419,rs12986610,rs13003430,rs13012304,rs13014100,rs13019149,rs13035239,rs13035244,rs13313741,rs13382979,rs13387053,rs13393590,rs13398155,rs13404163,rs13407913,rs13410999,rs13412941,rs13428763,rs13428789,rs138166226,rs141029407,rs144916872,rs150930327,rs1550110,rs17046737,rs17738465,rs17800401,rs181932678,rs1865687,rs1865688,rs1865689,rs187199934,rs187778325,rs192712520,rs193027111,rs1968482,rs2033653,rs2033654,rs2033655,rs2033656,rs2384054,rs2384056,rs2384057,rs2384058,rs2384059,rs2384061,rs28445639,rs28836469,rs34697209,rs35033157,rs35072958,rs35177510,rs35803386,rs36029941,rs3731623,rs3903070,rs4077677,rs4077678,rs4077679,rs4077680,rs4343432,rs4430895,rs4459693,rs4558547,rs55784418,rs55893453,rs55985335,rs56003423,rs56157935,rs56215558,rs59086897,rs59117299,rs59989839,rs61732745,rs6545776,rs6545790,rs6545795,rs6545800,rs6545806,rs6545807,rs6545808,rs6545809,rs6545812,rs6545813,rs6545814,rs6705446,rs6706316,rs6712981,rs6712986,rs6713978,rs6717671,rs6718510,rs6718628,rs6719064,rs6719538,rs6721750,rs6721847,rs67221599,rs6722587,rs6723803,rs6724772,rs6725517,rs6726199,rs6726261,rs6728219,rs6730191,rs6733224,rs6736052,rs6736210,rs6736711,rs6737082,rs6738297,rs6738433,rs6744205,rs6746013,rs6749170,rs6749422,rs6752378,rs6752483,rs6754997,rs6756609,rs713586,rs713587,rs73920610,rs73920612,rs74370213,rs75239292,rs75367830,rs754536,rs754537,rs75503394,rs7560156,rs7563204,rs7565460,rs7565468,rs7566023,rs7566051,rs7567997,rs7569646,rs75698381,rs7576172,rs7576314,rs7580081,rs7586879,rs7591460,rs7593130,rs7597157,rs75973443,rs7599796,rs7603153,rs7605335,rs7608185,rs76125319,rs76477706,rs77207027,rs77483992,rs77605687,rs77606288,rs77969210,rs78720259,rs78989253,rs79272567,rs79451155,rs79548295,rs80306571,rs876186,rs9631061,rs9631062	rs2384061,rs181932678	###	0.24332274681973262	0.2303551779577815	ARNT2,ETS2
chr1_24174978_24175487	PITHD1	rs140384451,rs183568395	###	###	0.24311801504639963	0.23118742716772256	ETS2,SOX9
chr19_6685975_6687083	C3	rs10408682,rs10411506,rs11085196,rs113252645,rs11569429,rs11569470,rs11569479,rs11569492,rs11569494,rs11569495,rs11569496,rs11569499,rs11569500,rs11569501,rs11569502,rs11569505,rs11569507,rs11569508,rs11569509,rs11569510,rs11569511,rs11569513,rs11569514,rs11569515,rs11569517,rs11569519,rs11569520,rs116528507,rs116727573,rs117041052,rs139652996,rs143266929,rs163916,rs185271306,rs191553999,rs2012357,rs2047139,rs2047140,rs2230204,rs2230205,rs2241389,rs2241390,rs2241392,rs2241393,rs2241394,rs2250656,rs2279623,rs2279626,rs2547438,rs339397,rs339399,rs3745565,rs3745566,rs3745567,rs389404,rs400443,rs421147,rs432001,rs436041,rs438703,rs4807897,rs62125099,rs6510917,rs7257062,rs72988325,rs77344981	rs2241392	###	0.24294932100637362	0.23187443924083273	ETS2
chr2_10404851_10405059	HPCAL1	rs10929642,rs11673763,rs11690100,rs11695911,rs13408763,rs1468778,rs1468781,rs1468782,rs17267637,rs17379489,rs184729419,rs1989368,rs4027356,rs6734857,rs7561415,rs7587187,rs887964,rs887965	###	###	0.24267665857302717	0.2329872664476469	ARNT2,SOX9,NFIX,SOX8,ESRRA,NFIC,ETS2,RXRB,EGR1,BHLHE40,NR2F1
chr22_45104937_45105309	PRR5	rs1077165,rs1077166,rs111590889,rs111954544,rs112073797,rs117339841,rs117549723,rs117790251,rs12330008,rs12483865,rs12484158,rs132434,rs132435,rs132436,rs143184941,rs150774541,rs1573747,rs17529901,rs17601899,rs182766539,rs184261450,rs186409177,rs2097534,rs2097535,rs2349642,rs4372,rs56357941,rs5764967,rs5764968,rs5764969,rs5764970,rs5765918,rs5765919,rs5765924,rs5765925,rs5765929,rs5765932,rs57844723,rs6006851,rs6006855,rs6006857,rs6007249,rs6007261,rs62228465,rs7284589,rs743988,rs74659233,rs74960825,rs763217,rs9614561,rs9614562,rs9614884	###	###	0.24254670942791084	0.233518674565794	ETS2,ZBTB7A
chr22_21058797_21059081	PI4KA	rs186120903,rs28377948	###	###	0.242165749231009	0.2350804231670075	NR2F6,POU3F3,ETS2,FOXG1,TCF4,NR2F1
chr16_3001266_3001553	FLYWCH2	rs11552907,rs11641195,rs11860795,rs12149726,rs12443802,rs12446181,rs12709152,rs12927970,rs12930630,rs12934782,rs12935188,rs146445479,rs147737233,rs182204471,rs1859377,rs1859378,rs2005712,rs2074357,rs2074364,rs2256045,rs2285827,rs2285829,rs2526274,rs2717692,rs4149769,rs4149782,rs4149795,rs4238844,rs4785922,rs4786356,rs4786357,rs4786358,rs4786359,rs4786360,rs4786361,rs4786364,rs57768809,rs59409699,rs62032312,rs66859825,rs71386697,rs7184322,rs7188530,rs7189958,rs7193494,rs72770816,rs72770870,rs72770877,rs72770878,rs731720,rs739794,rs757275,rs757276,rs77093855,rs79352841,rs8045664,rs886427,rs984539,rs986358	###	###	0.2415702734211907	0.23753309530853328	NR2F6,BHLHE40,NFIX,ZBTB7A,ESRRA,BHLHE41,EGR3,ETS2,NFIC,NFE2L2,RXRB,SRF,YY1,EGR1,ETV5,TCF4,NR2F1
chr1_169104787_169105016	ATP1B1	rs10919062,rs10919064,rs10919070,rs10919071,rs10919074,rs10919085,rs1200131,rs12025566,rs12029857,rs12035622,rs12406341,rs12410548,rs12568473,rs143511910,rs146012639,rs148218036,rs17345156,rs186586694,rs2000321,rs2143290,rs3753292,rs3766031,rs3766039,rs3820048,rs4656647,rs4656648,rs61803311,rs61803312,rs6672876,rs72706963,rs72706975,rs76781931,rs77448520,rs77977611,rs79284357,rs9765	###	###	0.24137205343374693	0.23835263748124147	TEF,SOX9,NR2F6,SOX10,FOXO4,DLX5,NFIC,RXRB,NR3C1,YY1,FOXG1,ETV1,SMAD3,MZF1,HLF,NFIX,ETS1,USF1,MAFG,SOX15,ETV5,TCF3,NFIB,TCF4,KLF3,TCF12,KLF4,EGR4,ZIC1,EGR3,ETS2,SOX2,SRF,EGR1,TBP,DBP,NR3C2,SOX12,RXRG,ZIC2,FOXO3,SOX21,RXRA,DLX1,SOX8,ZBTB7A,USF2,ESRRA,TBR1,NR2F1,TFE3,GABPA
chr17_18097128_18097365	ALKBH5	rs1064629,rs117782228,rs11869205,rs11870766,rs11871970,rs12150618,rs12450483,rs12451754,rs12936694,rs12939469,rs1378601,rs1378602,rs138400233,rs186853518,rs190120222,rs2056841,rs2242595,rs2272571,rs2290509,rs2360234,rs2605132,rs2605136,rs2605137,rs2746027,rs2746030,rs2925137,rs2925138,rs3794782,rs4603612,rs4924839,rs4924840,rs4924841,rs4925145,rs4925147,rs4925149,rs4925150,rs56021431,rs57186648,rs58804619,rs59179192,rs62072499,rs62073657,rs712270,rs712272,rs712273,rs712275,rs7212808,rs72827432,rs72827448,rs74361457,rs76291654,rs8068517,rs8069321,rs8071834,rs8400,rs854771,rs854772,rs854775,rs854776,rs854795,rs854797,rs854799,rs854801,rs854804,rs854805,rs854806,rs854807,rs860568,rs861278,rs865923,rs9913266	###	###	0.2413333844270924	0.23851269513193385	NFIX,FOXO4,TCF4,USF2,ESRRA,EGR3,ETS2,RXRB,YY1,EGR1,ETV5,NR2F1,TFE3
chr16_30427470_30427730	ZNF771	rs112949123,rs115307823,rs117785599,rs117885053,rs140145185,rs143806405,rs181798305,rs74763255	###	###	0.24133152270536684	0.23852040260177065	KLF9,MEIS3,NR2F6,MAZ,CTCF,FOXO4,FOXO1,KLF16,NFIC,RXRB,YY1,NR3C1,ARX,FOXG1,ETV1,SMAD3,KLF13,NFIA,MZF1,POU3F2,NFIX,ETS1,POU3F3,KLF3,TFCP2,TCF3,NFIB,ETV5,NFE2L1,PKNOX2,TCF4,TCF12,EGR4,EGR3,TEAD1,ETS2,SP3,SP2,SRF,SOX2,EGR1,TBP,RFX5,NR3C2,RXRG,SP1,FOXO3,RXRA,TBR1,ESRRA,NFE2L2,ELF2,NR2F1,GABPA
chr11_73843526_73844422	PPME1	rs10501415,rs10898955,rs10898956,rs10898957,rs10898958,rs10898959,rs10898960,rs10898961,rs10898963,rs11235994,rs11235995,rs11235997,rs11235998,rs11235999,rs11236000,rs11236002,rs11236003,rs11236005,rs11236016,rs11236018,rs11236020,rs11236026,rs11236027,rs115783084,rs11600314,rs11601582,rs11602451,rs11603981,rs11604125,rs11604713,rs11606804,rs116075116,rs11608147,rs12222213,rs12223320,rs12574038,rs12574039,rs12574047,rs12574556,rs12574650,rs12574824,rs12574898,rs12575211,rs139079607,rs1405653,rs1405654,rs1474471,rs148194170,rs148580863,rs149799953,rs1527302,rs1614299,rs1615115,rs17132715,rs1726744,rs1726746,rs1726751,rs1726752,rs1790381,rs1790398,rs1790399,rs1790404,rs188348880,rs191072965,rs2091436,rs2178000,rs3018184,rs35412081,rs35826958,rs3814724,rs4019299,rs4539349,rs55823944,rs56298621,rs56366246,rs57117016,rs58006161,rs58719576,rs58944783,rs60834556,rs61901211,rs61901216,rs61901217,rs61901235,rs61901238,rs61901245,rs61901246,rs61901247,rs61901248,rs61901252,rs61902362,rs6592547,rs7110734,rs7115146,rs7115407,rs7119710,rs7125032,rs7125400,rs7130254,rs72984889,rs7483884,rs75936220,rs77296997,rs78865883,rs78878933,rs79265621,rs7935920,rs7941203,rs7941525,rs7951239,rs7951290,rs7951743,rs7952669,rs79586324,rs826056	###	###	0.24132497407558395	0.23854751480792435	TEF,SOX9,JUN,NFIX,SOX10,SOX8,TBR1,ETS2,JUNB,SOX2,RXRB,NR1H2,ETV5,OLIG1,TCF4
chr4_762796_763090	CPLX1	rs10004297,rs10004482,rs10004503,rs113752796,rs114047292,rs114504210,rs115663287,rs116304563,rs116903643,rs11724278,rs11931963,rs11934187,rs11935678,rs11936723,rs12642051,rs12644402,rs13105255,rs13105473,rs13105702,rs13108421,rs13108435,rs13109607,rs13111051,rs13116048,rs13116062,rs13122480,rs13127293,rs13128363,rs13130034,rs13130087,rs13130280,rs13131168,rs13131185,rs13136722,rs13138362,rs13145884,rs13147679,rs13149773,rs13151015,rs13151247,rs140085312,rs140633095,rs146082853,rs148721651,rs149278327,rs1564279,rs17165032,rs184379027,rs186890821,rs187015750,rs187492504,rs1894,rs190144548,rs190366852,rs2242237,rs28497436,rs28548751,rs28624826,rs28638011,rs28685840,rs34163945,rs34263120,rs34649712,rs34703682,rs34951963,rs34959417,rs35333201,rs36031899,rs3733356,rs3733357,rs3775137,rs3775138,rs3775139,rs3775140,rs3775144,rs3775145,rs3816674,rs3816675,rs3816677,rs3822027,rs4234854,rs4690312,rs56148616,rs57003523,rs59157526,rs6811216,rs6811804,rs6815765,rs6816792,rs6816802,rs6816868,rs6818983,rs6819857,rs6821861,rs6828898,rs6829951,rs6834724,rs6838241,rs6838243,rs6840352,rs6848474,rs6850257,rs6850266,rs71604324,rs7336,rs7340883,rs74375390,rs74505207,rs75261937,rs75422798,rs75811058,rs75929899,rs7655749,rs7655941,rs7661962,rs7662167,rs7674850,rs7677766,rs7683551,rs7696341,rs76984010,rs77209954,rs77684775,rs77886012,rs78838194,rs79470242,rs79713586,rs80187089,rs80189576,rs80237166,rs9998158	###	rs79713586,rs78838194	0.24128026237123051	0.23873267233501883	ETS2,NR2F1,BHLHE40
chr1_65770101_65770338	DNAJC6	rs12079806,rs17397283,rs183694014,rs74080527,rs74083023,rs75909229	###	###	0.24112630096030374	0.23937084956021926	TEF,MEIS3,SOX9,NFIC,CEBPD,RXRB,YY1,FOXG1,HLF,NFIX,POU3F3,PKNOX2,ETV5,NFE2L1,ETS2,CEBPB,DBP,RXRA,ESRRA,NR2F1,GABPA
chr11_1795254_1795679	CTSD	rs114074540,rs115151277,rs117082892,rs117936754,rs139068420,rs141189378,rs143750893,rs148943924,rs151143761,rs181149273,rs185254754,rs191723845,rs72850986	###	###	0.24107637038250293	0.23957801404680468	TEF,CTCF,FOXO4,NFIC,RXRB,JDP2,OLIG1,MZF1,NFIX,THRA,TFCP2,ETV5,TCF4,BHLHE41,EGR3,ETS2,EGR1,BHLHE40,ZBTB7A,ESRRA,NFE2L2,NR2F1
chr16_58470018_58470363	NDRG4	rs140160636,rs1424077,rs144871032,rs184528061,rs1862802,rs1895522,rs2042401,rs28649193,rs4784039,rs4784040,rs4784934,rs4784935,rs4784938,rs55953222,rs56139189,rs56379581,rs75989893,rs78172086,rs80098296,rs9928581,rs9931547	###	###	0.2410050171262009	0.2398742320999694	TEF,SOX9,NR2F6,MEIS3,SOX10,MAZ,CTCF,FOXO4,NFIC,RXRB,NR3C1,YY1,ARX,MZF1,NFIX,POU3F3,PKNOX2,ETV5,TCF3,TCF4,EGR3,ETS2,CEBPB,SP2,SOX2,EGR1,NR3C2,FOXO3,RXRA,SOX8,TBR1,ESRRA,NFE2L2,NR2F1,DBP
chr15_41940754_41941242	TYRO3	rs10152332,rs10152364,rs10775122,rs10775123,rs10775124,rs11070343,rs11070345,rs11070347,rs1107858,rs11629485,rs11629678,rs11632100,rs11637341,rs11638890,rs11639043,rs11639146,rs11639249,rs116835885,rs117250433,rs117834187,rs12441249,rs12900295,rs12902548,rs12915325,rs12916525,rs12916992,rs142308202,rs145673011,rs147002545,rs147384168,rs148792059,rs16952372,rs16971976,rs17676742,rs17677199,rs17733613,rs1867416,rs1867417,rs1899819,rs1899820,rs1899821,rs2004162,rs2009310,rs2141141,rs2412622,rs28444909,rs28526689,rs28556632,rs28700954,rs28708888,rs28810086,rs28830936,rs28850384,rs34078800,rs34098887,rs35484767,rs4244585,rs4371125,rs4465584,rs4923905,rs4923908,rs4924564,rs4924567,rs4924568,rs4924570,rs4924571,rs55973132,rs56383987,rs61736074,rs62002066,rs62003900,rs7164209,rs7164533,rs7169496,rs7169668,rs7176474,rs7177232,rs7177911,rs7178205,rs72724111,rs76201788,rs76388273,rs78703273,rs8023311,rs8027390,rs8028886,rs8030179,rs8036643,rs8038783,rs8039440,rs9672298,rs9672360,rs9672671	rs4244585	###	0.24063900028954688	0.24139686144853723	TEF,SOX9,NR2F6,FOXO4,NFIC,CEBPD,RXRB,NR3C1,YY1,FOXG1,ETV1,MZF1,POU3F2,ETS1,NFIX,POU3F3,E2F1,KLF3,TFCP2,TCF3,ETV5,TCF4,TCF12,KLF4,EGR3,ETS2,SP3,SOX2,SP2,CEBPB,EGR1,TBP,NR3C2,FOXO3,RXRA,DLX1,SOX8,ZBTB7A,TBR1,ESRRA,NR2F1,GABPA
chr19_4101304_4101788	ZBTB7A	rs10407757,rs10414261,rs10415135,rs10419502,rs10419514,rs10423017,rs11085058,rs11671735,rs117296598,rs117706110,rs11880023,rs12459969,rs12463088,rs12971836,rs12980748,rs143118218,rs149279590,rs1979013,rs2289858,rs239996,rs350818,rs350822,rs350823,rs350832,rs350836,rs350838,rs350886,rs350895,rs350898,rs350904,rs350907,rs350911,rs55670209,rs56267960,rs56356382,rs59394312,rs66534382,rs66833742,rs67602344,rs67820526,rs7251928,rs7254272,rs7256295,rs7258426,rs7259699,rs72976987,rs72978905,rs74699255,rs895330	###	###	0.24062490192756464	0.24145561543932748	TEF,MEIS3,NR2F6,FOXO4,CTCF,NFIC,CEBPD,RXRB,YY1,NFIX,POU3F3,PKNOX2,ETV5,TCF3,TCF4,TCF12,BHLHE41,EGR3,TEAD1,ETS2,SOX2,CEBPB,SRF,SP2,EGR1,BHLHE40,NR3C2,FOXO3,ELK1,ZBTB7A,ESRRA,TBR1,NFE2L2,NR2F1
chr22_38516587_38517019	PICK1	rs11089862,rs111568133,rs112110095,rs118124774,rs143826762,rs191822921,rs2076112,rs2284063,rs3827355,rs5995535,rs6001008,rs6001009,rs9610903	rs143826762	###	0.24060272040145117	0.24154807120374922	NR2F6,CTCF,FOXO4,NFIC,RXRB,FOXG1,ARNT2,NFIX,POU3F3,ETV5,TCF4,EGR3,ETS2,SOX2,EGR1,BHLHE40,FOXO3,RXRA,SOX8,ZBTB7A,ESRRA,NR2F1
chr11_1391526_1392032	TOLLIP	rs1033198,rs10766282,rs10832243,rs10832546,rs10832547,rs10832803,rs10832805,rs10832817,rs10832840,rs10832843,rs10832858,rs10832859,rs10833086,rs10833257,rs11022147,rs11023958,rs11024072,rs11024347,rs11024617,rs111286120,rs111309015,rs111441270,rs111965262,rs112544636,rs114715203,rs116911423,rs117326286,rs117872975,rs11822087,rs11822524,rs12577940,rs12788273,rs142330918,rs143197971,rs144905738,rs145490652,rs147497882,rs185433415,rs187088653,rs187642020,rs189824681,rs189932501,rs191287973,rs192002343,rs1973846,rs2090193,rs2334648,rs28553285,rs34360926,rs36064646,rs3934561,rs4074035,rs4247481,rs4255564,rs4341570,rs4881729,rs4881737,rs4881744,rs4881745,rs4881747,rs4881748,rs4881750,rs4963032,rs4963039,rs4963040,rs4963041,rs4963043,rs4963054,rs4963063,rs4963065,rs4963076,rs4963081,rs56115465,rs56118874,rs56146392,rs56249299,rs60069474,rs61277979,rs61867617,rs61867618,rs61867619,rs61867620,rs61867621,rs61867654,rs61867658,rs61867659,rs61868964,rs61868965,rs6421030,rs6578285,rs6578289,rs7103987,rs7108690,rs7116562,rs7118481,rs7122378,rs72843211,rs72846402,rs72849408,rs72849411,rs72849414,rs72849425,rs72849441,rs7394747,rs7394830,rs7395835,rs74046931,rs74807930,rs7482040,rs75054689,rs75146653,rs75780309,rs75942956,rs77136019,rs77167348,rs77724222,rs78479535,rs78491070,rs78885558,rs79057596,rs7924715,rs7926304,rs7932863,rs7938522,rs7944761	rs77167348	###	0.2405948637747785	0.24158082335419317	MEIS3,NR2F6,NFIX,ZBTB7A,POU3F3,NFIC,TBR1,ETS2,EGR3,RXRB,PKNOX2,BHLHE40,EGR1,OLIG1,TCF4,ETV5,NR2F1
chr16_90067406_90068693	DBNDD1	rs10431948,rs1048148,rs1048149,rs11076650,rs11076656,rs112579477,rs112601651,rs113732151,rs114684931,rs115116665,rs115375939,rs115739237,rs11639655,rs11639747,rs11648422,rs11649465,rs116521159,rs116654360,rs117078447,rs117204628,rs117306165,rs117469991,rs117711828,rs118027911,rs118107583,rs12444334,rs12446516,rs12596872,rs12930631,rs12931432,rs13331975,rs13380736,rs139770492,rs142199230,rs142424290,rs148781907,rs149078131,rs149716164,rs17719735,rs17784583,rs184391000,rs187891579,rs191248207,rs2241032,rs2241033,rs2241035,rs2241038,rs2241039,rs2241085,rs2302513,rs28582207,rs34467494,rs35601476,rs3743823,rs3743824,rs3743827,rs3743828,rs3743829,rs3785181,rs3785184,rs3809644,rs3826202,rs3923703,rs4238834,rs4268748,rs4280240,rs4293384,rs4324129,rs4328441,rs4374173,rs4408545,rs4427799,rs4464078,rs4530137,rs45583731,rs4567713,rs4608335,rs4620955,rs4627348,rs4628973,rs4785751,rs4785752,rs4785759,rs4785762,rs4785767,rs55671402,rs55939723,rs56057620,rs56219904,rs56244407,rs56313981,rs56338882,rs56368830,rs56375188,rs56400604,rs59108883,rs59443037,rs62052238,rs62052247,rs62054562,rs62054581,rs62054582,rs62054616,rs62054617,rs62054618,rs62054619,rs66701606,rs7191175,rs7192165,rs7192770,rs7195043,rs7198372,rs7198761,rs7199280,rs72813466,rs72813477,rs73285483,rs73285485,rs74837667,rs7498985,rs7500224,rs76180276,rs76392092,rs76839250,rs77104104,rs77576048,rs78418891,rs8048449,rs8062311,rs8062511,rs8577,rs868045,rs868371,rs869048,rs9921920,rs9923604,rs9928084,rs9932312,rs9933627,rs9934403,rs9936215,rs9936896	rs11076650	###	0.24050722959964205	0.24194630991635646	ID4,SOX9,NR2F6,MAZ,SOX10,CTCF,FOXO4,NFIC,RXRB,NR3C1,YY1,FOXG1,ARNT2,POU3F2,NFIX,USF1,POU3F3,PBX2,E2F1,ETV5,TCF3,TCF4,BHLHE41,EGR3,ETS2,SOX2,EGR1,BHLHE40,E2F4,RXRA,ID2,SOX8,ZBTB7A,USF2,ESRRA,NR1H2,NFE2L2,NR2F1,TFE3
chr16_30357230_30357581	ZNF771	rs112949123,rs117785599,rs117885053,rs138101508,rs140145185,rs141006476,rs143806405,rs181798305,rs189387188,rs71389461	###	###	0.2405020289629269	0.24196800908471916	TEF,SOX9,MEIS3,NR2F6,MAZ,FOXO4,FOXO1,NFIC,CEBPD,RXRB,NR3C1,JDP2,OLIG1,FOXG1,ETV1,SMAD3,E2F3,MZF1,NFIA,ARX,HLF,POU3F2,ETS1,NFIX,POU3F3,FOXJ3,E2F1,PKNOX2,ETV5,TCF3,TFCP2,KLF3,NFE2L1,TCF4,NFIB,TCF12,TEAD1,ETS2,SOX2,CEBPB,RFX5,NR3C2,RXRG,ZIC2,FOXO3,RXRA,SOX8,TBR1,ESRRA,NR2F1,GABPA
chr1_4724656_4725423	AJAP1	rs10799251,rs10915575,rs10915578,rs10915579,rs10915580,rs111709329,rs112802765,rs113311795,rs113541206,rs114168592,rs114235078,rs11580863,rs11588149,rs11588169,rs116065312,rs116655009,rs11799715,rs11809744,rs11810326,rs11810730,rs11810776,rs11811287,rs12083135,rs12122002,rs12131128,rs12133670,rs12133909,rs12135245,rs12137092,rs12137938,rs12138132,rs12140542,rs12402269,rs12406838,rs12408160,rs12408195,rs12409187,rs12411035,rs12565905,rs12567266,rs12747700,rs12752003,rs13376167,rs13376219,rs144096630,rs1466520,rs148160756,rs1531831,rs1564666,rs1564667,rs17344947,rs17421247,rs17455108,rs189129356,rs2035454,rs2035455,rs2071989,rs2071990,rs2071991,rs2071995,rs2071996,rs2071998,rs34993795,rs3766954,rs3947662,rs4092258,rs4281299,rs59390834,rs59425660,rs60463828,rs61093582,rs61265167,rs61764994,rs61764995,rs61765001,rs6426432,rs6658098,rs6658403,rs6672744,rs6703802,rs72637542,rs72637550,rs72637576,rs72637578,rs72637581,rs72637582,rs72637585,rs72637587,rs72637589,rs72637591,rs72637594,rs74051909,rs74051915,rs74051929,rs7517225,rs7517857,rs7528064,rs7541459,rs76277841,rs76508223,rs76789200,rs77551369,rs78493523,rs974634	rs17421247	###	0.23997008361836258	0.24419306721478695	ETS2
chr8_20017309_20017744	ATP6V1B2	rs148250526,rs17092104,rs17092107,rs17489891,rs189446855,rs34135174,rs59777512,rs62498209,rs6586896,rs71510683,rs71510684	###	###	0.23980388879907485	0.24489049350560665	SOX9,MEIS3,FOXO4,CEBPD,RXRB,YY1,ARX,NFIX,POU3F3,MAFG,PKNOX2,ETV5,TCF4,ETS2,SOX2,CEBPB,FOXO3,RXRA,ZBTB7A,ESRRA,NR2F1
chr17_8012643_8013960	PER1	rs112980285,rs113522761,rs1150,rs116492351,rs11658707,rs1372869,rs139574757,rs141463152,rs1442847,rs1442849,rs186599518,rs187796030,rs2278637,rs2289591,rs2304911,rs2518026,rs2585399,rs3027160,rs3027167,rs3027169,rs3027172,rs3027178,rs3027208,rs3027209,rs3027210,rs3027218,rs3027232,rs3027279,rs3027288,rs4414548,rs4470206,rs4496222,rs4792216,rs4792217,rs4792250,rs4792267,rs55844333,rs56408410,rs58388305,rs61624965,rs62063060,rs62063062,rs62065148,rs7209088,rs7209343,rs7211097,rs7215288,rs7215658,rs7220238,rs73239932,rs73239937,rs74795714,rs75711247,rs76539190,rs76606011,rs78265084,rs8067165,rs894505,rs959303,rs9747062,rs9747063,rs9748189	rs76606011	###	0.23968200824754257	0.2454026382233565	BHLHE40
chr16_69309322_69309587	NIP7	rs111503010,rs112113281,rs112146240,rs112631635,rs112793629,rs112894900,rs112993816,rs113306864,rs113312232,rs113431888,rs113509192,rs113599286,rs113837751,rs113911976,rs11640482,rs149659059,rs150397805,rs153049,rs16958736,rs17624400,rs17624406,rs17624424,rs17691707,rs17702834,rs58264433,rs72795265,rs72795270,rs75082999,rs75434018,rs76194768,rs76392333,rs76940144,rs77313884,rs77352588,rs78046672,rs78236673,rs78815775,rs78906997,rs79290456,rs79434985,rs79639621,rs79713069	rs78815775	###	0.2396428705524619	0.24556721767338852	ARNT2,TEF,ID2,ELK1,FOXO4,USF2,BHLHE41,ETS2,RXRB,EGR1,BHLHE40,NR2F1,ETV5
chr3_12949085_12949468	IQSEC1	rs10084758,rs1108640,rs112225133,rs11541256,rs115532219,rs115763240,rs11924400,rs11925499,rs141580759,rs148196005,rs190809678,rs2005474,rs2005475,rs2288962,rs2348608,rs35700044,rs3773309,rs3773319,rs3773324,rs3773325,rs4547681,rs60088612,rs61739284,rs6764307,rs68074206,rs71306028,rs71306030,rs73027081,rs75906500,rs7618574,rs77257750,rs77806269,rs892281	###	###	0.23960508673715805	0.24572616010180326	SOX9,NR2F6,CTCF,NFIC,RXRB,YY1,TRIM28,FOXG1,OLIG1,MZF1,NFIX,ETV5,TCF3,TCF4,EGR3,ETS2,SOX2,EGR1,BHLHE40,RXRA,SOX8,ZBTB7A,ESRRA,NFE2L2,NR2F1
chr12_113550841_113551101	RASAL1	rs10161235,rs117665842,rs118062729,rs1284872,rs142463372,rs148454620,rs187269257,rs3809163,rs73427738,rs80204171	###	###	0.2395869573065438	0.2458024434649524	ETS2,TBR1
